Timestamp,Engagement Index
2023-12-07 14:44:13,41.64509149850303
2023-12-07 14:44:28,41.3783069854089
2023-12-07 14:44:43,43.170481991535674
2023-12-07 14:44:58,46.93680696944991
2023-12-07 14:45:13,42.437215023639844
2023-12-07 14:45:28,42.391965939104985
2023-12-07 14:45:43,42.764654016405466
2023-12-07 14:45:58,41.146275845953305
2023-12-07 14:46:13,30.412816995154724
2023-12-07 14:46:28,43.686134430919736
2023-12-07 14:46:43,48.142109801785764
2023-12-07 14:46:58,54.72923348147698
2023-12-07 14:47:13,51.39834631757353
