Timestamp,Engagement Index
2023-12-06 16:15:53,100
2023-12-06 16:16:08,100
2023-12-06 16:16:23,100
2023-12-06 16:16:38,100
2023-12-06 16:16:54,99.66367038815288
2023-12-06 16:17:09,79.37123634947993
2023-12-06 16:17:24,36.09694820267867
2023-12-06 16:17:39,30.440962067535988
2023-12-06 16:17:54,27.942456248560976
2023-12-06 16:18:09,24.747291193559544
2023-12-06 16:18:24,24.39877260521328
2023-12-06 16:18:39,28.522042762966954
2023-12-06 16:18:54,32.92745622119295
2023-12-06 16:21:56,34.886881804741556
2023-12-06 16:22:11,26.379494108174022
2023-12-06 16:22:26,27.504472637026783
2023-12-06 16:22:41,30.054809219537926
2023-12-06 16:22:56,30.458127944540596
2023-12-06 16:23:11,26.973852634811223
2023-12-06 16:23:26,38.387901570673584
2023-12-06 16:23:41,37.26146551808087
2023-12-06 16:23:57,37.82604169577374
2023-12-06 16:24:12,36.762789858000666
2023-12-06 16:24:27,53.817943197570806
2023-12-06 16:24:42,46.963227629220064
2023-12-06 16:24:57,43.97110776024529
2023-12-06 16:25:12,42.88926988908799
2023-12-06 16:30:00,41.61054462127696
2023-12-06 16:31:30,43.27563003733964
