Timestamp,Engagement Index,Stress Level,Normalized ICE,Normalized Stress Level
2023-12-06 16:06:07,5.031347409846846,3879.069732657217,86.66658524344943,80.42748378833186
2023-12-06 16:06:12,4.075403514719585,3803.5700794986383,70.02314297332582,78.94699691386143
2023-12-06 16:06:17,3.8183122180378186,3612.155966626419,65.54706003970912,75.19352163496848
2023-12-06 16:06:23,3.900228494111927,3835.889054739429,66.97326174335768,79.5807457675128
2023-12-06 16:06:28,5.05459229096944,3221.6722775182056,87.0712897862702,67.5364536587058
2023-12-06 16:06:33,5.797174348220309,3599.0993080770154,100.0,74.93749116597768
2023-12-06 16:06:38,2.943084672570236,2939.108938503795,50.308928178139475,61.99561609037011
2023-12-06 16:06:43,3.715238331544356,2710.762015025214,63.75249417851614,57.517918393856604
2023-12-06 16:06:48,3.446724603494804,2127.75918294186,59.07754122959496,46.08570639593425
2023-12-06 16:06:53,3.4082559430953023,2451.8852536776344,58.407783378918104,52.44155537434052
2023-12-06 16:06:58,2.1574813442888803,2730.892160153335,36.63119697642803,57.91265418927504
2023-12-06 16:07:03,2.218377405180398,2441.952986939564,37.69142663958308,52.24679169100854
2023-12-06 16:07:08,3.851604320072984,2560.3115168996183,66.1266915234162,54.56770632778739
2023-12-06 16:07:13,2.8052373024258896,2926.00116133694,47.908939267932176,61.73858322681177
2023-12-06 16:07:18,4.648111514373232,2280.511025715717,79.99426426868649,49.08104596130769
2023-12-06 16:07:23,3.8426431922814,2801.9489635507434,65.97067398532148,59.30602038859689
2023-12-06 16:07:28,2.4604082205992794,1154.5853454596177,41.90529936218553,27.002557895314315
2023-12-06 16:07:33,3.205187520187996,1637.5916703027594,54.87226462015992,36.47391960759271
2023-12-06 16:07:38,2.1475664669693755,2399.8760299639835,36.45857420105001,51.421696741377964
2023-12-06 16:07:43,1.9388050820610752,1890.0047925610847,32.82393824002449,41.42353591460594
2023-12-06 16:07:48,2.4610710888075147,1306.7560378338453,41.916840216008325,29.986501573385635
2023-12-06 16:07:53,0.7522144406834879,254.6410966407945,12.16482535829231,9.355382148255845
2023-12-06 16:07:58,0.2858828894584857,35.57717566509254,4.045769113346805,5.059716590781721
2023-12-06 16:08:03,2.169339174110107,1821.8500130178709,36.83764748789059,40.08707604591995
2023-12-06 16:08:08,1.0545756765990872,2736.2985478034107,17.429079673148905,58.01866905979933
2023-12-06 16:08:13,2.5709821518066045,4877.199612025589,43.83044460346011,100.0
2023-12-06 16:08:18,4.482207154689624,2230.2084474095795,77.10578969729087,48.094653258577836
2023-12-06 16:08:23,1.5732027371762412,2594.732066664834,26.458625848858997,55.24266535087619
2023-12-06 16:08:28,1.528429032071556,2984.489662634872,25.67909414210526,62.8854952304624
2023-12-06 16:08:33,2.540168814430759,1795.4521227103128,43.293969602804914,39.56943485845697
2023-12-06 16:08:38,2.5991604779461843,2170.2577028262,44.32104279312727,46.9190678517946
2023-12-06 16:08:43,1.111211238181179,1170.2621090816094,18.415131997382947,27.30996649661989
2023-12-06 16:08:48,1.7104452089537332,948.721626474416,28.848083188019757,22.96573757711893
2023-12-06 16:08:53,0.8041309154616892,243.32172171568973,13.068716115107376,9.133418400043276
2023-12-06 16:08:58,0.2848646424511312,107.06808557364258,4.028040943974088,6.461595266187639
2023-12-06 16:09:03,1.3382831800098374,535.5725183619122,22.368563547345435,14.864219143981385
2023-12-06 16:09:09,3.0833829793994063,3525.466581180169,52.751589072999344,73.49361319910442
2023-12-06 16:09:14,2.4184227952570145,4045.199274855989,41.174312945061594,83.68514917350205
2023-12-06 16:09:19,0.3668665630527249,182.8483309789179,5.455733759973709,7.947584326707033
2023-12-06 16:09:24,2.48663984027461,2541.6981265406025,42.362004457477845,54.20271286141959
2023-12-06 16:09:29,3.722076647868352,2172.563815913614,63.87155254956011,46.96428885631749
2023-12-06 16:09:34,2.742633816696084,1748.080268106182,46.81898251841623,38.64051126706738
2023-12-06 16:09:39,0.2582384803931831,147.9608410756175,3.56446667633632,7.263468986778664
2023-12-06 16:09:44,3.853179872362665,1986.900649383184,66.15412264537903,43.323584964028385
2023-12-06 16:09:49,3.276961771240177,1583.4683784005847,56.12188879785217,35.412605814587614
2023-12-06 16:09:54,1.12619451750401,879.8487265144308,18.67599808554754,21.61519595034742
2023-12-06 16:09:59,1.0659997400249122,2005.990978891241,17.627978103367592,43.69793081971901
2023-12-06 16:10:04,0.6755660143064154,586.7544027301094,10.83033944755505,15.86785432437914
2023-12-06 16:10:09,2.170594809309533,837.2152103231018,36.859508699683985,20.779187326556652
2023-12-06 16:10:14,1.436744852053392,1161.9076325316507,24.082828540123682,27.14614199732973
2023-12-06 16:10:19,4.703504591968303,1102.7895160092928,80.95868435005048,25.986883750527863
2023-12-06 16:10:24,1.4343489437757284,1048.492726953702,24.04111462646508,24.922167819265905
2023-12-06 16:10:29,2.203805924469545,1095.6469606548958,37.43773016300375,25.84682404150969
2023-12-06 16:10:34,2.260488058408173,903.102365534278,38.42459333432971,22.07118092395051
2023-12-06 16:10:39,1.7717679331766332,961.110040860876,29.915741264663136,23.208664320850207
2023-12-06 16:10:44,3.6979718811147873,1168.4239059921113,63.45187698497654,27.273920827100095
2023-12-06 16:10:49,2.123189624681143,905.6983558752568,36.03416167075387,22.1220861859654
2023-12-06 16:10:54,2.1554794313298458,1448.2260299335032,36.59634271046813,32.76061321062801
2023-12-06 16:10:59,2.074033957550109,1003.3553770111566,35.17833790084961,24.03706104933205
2023-12-06 16:11:04,1.556695556673374,834.931975596749,26.171227909353977,20.734414948111407
