Timestamp,Alpha,Beta,Theta
2023-12-06 16:00:11,118376.08634668516,175150.6490560107,381811.21322466445
2023-12-06 16:00:16,42132.745439923216,198386.40579581904,52725.01066254574
2023-12-06 16:00:21,87186.64573547812,140529.32507436568,542688.6666073248
2023-12-06 16:00:26,28057.461375848252,258610.84507425403,13180.473789814347
2023-12-06 16:00:31,33695.00435766525,246997.2437024479,15565.525963313508
2023-12-06 16:00:36,24812.04509001978,239208.32892109864,13816.071497790948
2023-12-06 16:00:41,24598.526255442506,144679.90739945514,11362.818734509146
