Timestamp,Alpha,Beta,Theta
2023-12-07 14:37:44,38326.00107857792,82978.32508107663,142635.6590511133
2023-12-07 14:37:49,5509.335102373318,11132.993475408986,11478.72917868251
2023-12-07 14:37:54,1426.617377268672,5479.515486877505,3676.654294726462
2023-12-07 14:37:59,865.6559330291118,5684.499094271753,1639.8507946302398
2023-12-07 14:38:04,870.4270023828882,6062.784356638639,2037.7662638794113
2023-12-07 14:38:09,969.748753945543,7710.3853571972895,4413.247681260308
2023-12-07 14:38:14,707.0572481104037,6158.065877013113,2421.3892717218146
2023-12-07 14:38:19,6897.887021899996,14068.65351915485,34800.773750257664
2023-12-07 14:38:24,2048.3104744413185,5967.830264652327,6448.989255830413
2023-12-07 14:38:29,624.0725680245156,4363.4168884521405,941.151771579016
2023-12-07 14:38:34,796.3464575294015,3133.548289151935,1489.6372066848703
2023-12-07 14:38:39,335.9896896796819,3204.64108915331,1759.5057809433213
