Timestamp,Alpha,Beta,Theta
2023-12-07 19:10:53,26767.29272059993,33373.987739091295,76200.47229529882
2023-12-07 19:10:58,57748.0574517751,131031.16765157832,386012.0271508468
2023-12-07 19:11:03,27096.47373795188,28723.104551514512,104170.63664716136
2023-12-07 19:11:08,20546.033882363612,6759.711298611961,21935.045793364494
2023-12-07 19:11:13,50988.262770045345,16705.154636968153,181318.0107139087
2023-12-07 19:11:18,15443.06758977106,8327.814677711247,220482.35861676573
2023-12-07 19:11:23,1333.730845623257,867.9335712437811,3188.410061574148
2023-12-07 19:11:28,13373.015579943172,11018.902814107769,38120.55858616164
2023-12-07 19:11:33,7749.53552872623,4416.748907374943,36257.284592648
2023-12-07 19:11:38,2301.587454541408,1700.6921640051903,9315.844977346063
2023-12-07 19:11:43,2243.62918364575,3234.1916131288826,11370.854410570866
2023-12-07 19:11:48,635.2339447895313,1161.5712983211217,5480.916341545092
2023-12-07 19:11:53,3536.8331863466565,2994.267150408102,7800.476981636809
2023-12-07 19:11:58,1323.4403578529766,723.8516435136456,7131.8131760372435
2023-12-07 19:12:03,7673.139499555546,8970.550862688491,49424.50537581669
2023-12-07 19:12:08,2870.1398844968066,2398.7811747963647,14033.671083659056
2023-12-07 19:12:13,527.4666410351903,505.81796622882996,2736.2005427787617
2023-12-07 19:12:18,662.6134909616982,835.9282145135239,2790.0712012652575
2023-12-07 19:12:23,1173.6063257254968,1022.2407027518448,2224.1543932161667
2023-12-07 19:12:28,1452.9007937772749,1737.2721409333185,8476.38877835594
2023-12-07 19:12:33,21759.667428513905,15285.052298235198,149115.81594448577
2023-12-07 19:12:38,3567.864549583113,1814.433550287862,10620.928287385006
2023-12-07 19:12:43,1196.2324900241424,1045.7648861048108,2427.140724842671
2023-12-07 19:12:48,555.1161587090304,471.44584200831076,3590.926241540561
2023-12-07 19:12:53,630.3221650330582,543.3173509357033,2593.943300927827
2023-12-07 19:12:58,2231.327752477683,3222.237042214007,12695.77744485439
2023-12-07 19:13:03,1527.2635899507127,599.2274618496035,5443.245443642094
2023-12-07 19:13:08,497.43708730826364,711.3848566658313,2309.053345956117
2023-12-07 19:13:13,470.71745460337496,573.0711955557425,2028.6607144848217
2023-12-07 19:13:18,27036.82933463332,26576.91756969315,88866.87808115451
2023-12-07 19:13:23,17719.94262883893,32052.369010470808,69512.87571942972
2023-12-07 19:13:28,11778.858851401772,2791.0053875211825,111966.53951571533
2023-12-07 19:13:33,1957.6838560115139,3008.8110774764696,8434.133186312494
2023-12-07 19:13:39,7717.227714461471,7649.981038138874,91794.41336209481
2023-12-07 19:13:44,1381.8750239211192,2929.5420951873834,19656.136804727543
2023-12-07 19:13:49,1291.7877413018978,1281.2268686876353,3653.987460469468
2023-12-07 19:13:54,348.1743716785709,499.39028192531794,717.4656057183222
2023-12-07 19:13:59,1387.6327098888212,591.4540946379655,10826.177750402645
2023-12-07 19:14:04,555.6973523871104,604.7479534332819,2387.1174015209667
2023-12-07 19:14:09,281.12327678072614,427.1775462044705,1398.6027255033073
2023-12-07 19:14:14,880.5442025394743,271.7007680555575,3329.231976266623
2023-12-07 19:14:19,1249.9580527352496,1139.5548289799422,5558.0601421007395
2023-12-07 19:14:24,346.11314279621257,372.40949610425,3295.75258628242
2023-12-07 19:14:29,875.2173785610845,347.4957107068024,4267.526204058096
2023-12-07 19:14:34,681.7735629751629,435.58116034014876,6679.2909213081875
2023-12-07 19:14:39,583.1958101540434,499.7687737753322,6791.429926516689
2023-12-07 19:14:44,663.6987215688716,589.3794269859666,9116.131388923633
2023-12-07 19:14:49,1279.6477937305467,607.4062829155033,10448.757024424965
2023-12-07 19:14:54,541.3043930607018,307.1879377467962,4582.44315961073
2023-12-07 19:14:59,572.0550669219092,563.8156560898603,6568.374544231146
2023-12-07 19:15:04,374.73666596084695,352.9277492994441,1638.1369336230491
2023-12-07 19:15:09,72.00611731391575,286.73262648794815,90.06258028810349
2023-12-07 19:15:14,275.83503927434487,214.83127728848754,1921.8502104451532
2023-12-07 19:15:19,369.86382849691614,298.4335056740344,2429.4090919764885
2023-12-07 19:15:24,519.4391347669612,277.4953605436027,2919.43085672932
2023-12-07 19:15:29,1015.9282824808579,315.7003800211959,6204.2492731615785
2023-12-07 19:15:34,521.8981113939517,297.8589882782875,1087.8635034741685
2023-12-07 19:15:39,174.39311930767948,344.6152265287099,397.1473509242809
2023-12-07 19:15:44,749.4686150120649,396.260546500119,3861.4769856710204
2023-12-07 19:15:49,175.24298335294537,327.3239012679552,410.9310614961363
2023-12-07 19:15:54,599.2155415837015,445.069509016711,3041.715750360201
2023-12-07 19:15:59,335.5707787813119,334.0116701064541,2253.399376649991
2023-12-07 19:16:04,815.7632631595419,1945.2719037891923,5286.611720081287
2023-12-07 19:16:09,871.7268576453669,1678.6950325475584,5904.657339751904
2023-12-07 19:16:14,589.4316588269669,2669.852027432184,3481.8345366290278
2023-12-07 19:16:19,1394.6167116248585,3237.368339104075,10558.124049631351
2023-12-07 19:16:24,390.28259585559425,2587.784884935507,3651.109725584537
2023-12-07 19:16:29,244.38970213896636,1360.898630906152,2209.689167245383
2023-12-07 19:16:34,297.85331620095894,1862.0374667493095,1736.2866666098566
2023-12-07 19:16:39,306.9199632471696,1633.8003754326255,899.3739961140425
2023-12-07 19:16:44,490.00209700205505,1329.4057800568805,1704.046073086482
2023-12-07 19:16:49,630.3042854427077,1923.57707823401,2161.9949912393813
2023-12-07 19:16:54,780.58104087642,1866.8090312425302,6847.551681277856
