Timestamp,Alpha,Beta,Theta
2023-12-06 16:40:48,115.67403650110225,273.161740230674,564.4013268906988
2023-12-06 16:40:53,105.30138966002214,285.5503955911546,89.67769520515206
2023-12-06 16:40:58,33.85943989341974,191.97177883810528,71.807601206036
2023-12-06 16:41:03,26.72824460342944,213.03670355656172,116.16260151931533
2023-12-06 16:41:08,202.87656935617642,443.120236614992,1676.5057528162288
2023-12-06 16:41:13,529.813267737097,770.2009039987631,2228.3402627619525
2023-12-06 16:41:18,200.2894547787493,405.3554049512706,2184.631008611539
2023-12-06 16:41:23,228.44069496577305,878.7767529672599,9780.825102611721
2023-12-06 16:41:28,178.72607152896003,656.2033844848316,605.1501491003431
2023-12-06 16:41:33,54.436073307003156,278.57048008091624,173.28154285025641
2023-12-06 16:41:38,170.00684826447113,273.00803431430927,891.8417439427103
