Timestamp,Alpha,Beta,Theta
2023-12-07 14:44:03,1374.7941052895437,3614.546395850743,6729.319124886862
2023-12-07 14:44:08,762.8751859786664,2425.3366821017758,5636.240801553882
2023-12-07 14:44:13,804.4073983663245,1401.81382404922,3257.211849801318
2023-12-07 14:44:18,401.46930467537885,1326.3127826313382,2693.9075613021123
2023-12-07 14:44:23,350.7774185329915,1137.1395452934594,1927.021667623445
2023-12-07 14:44:28,925.0492061956911,1085.7196220360827,3021.8865210413364
2023-12-07 14:44:33,288.32387712502066,778.5706360087445,738.6975558755155
2023-12-07 14:44:38,108.83131372076768,920.0914498264561,373.18585996962213
2023-12-07 14:44:43,382.8647900494041,2649.0187792090574,3228.5333644888733
2023-12-07 14:44:48,296.2715804142351,785.1589604814814,2224.9485864734906
2023-12-07 14:44:53,131.92851969469652,756.531842639584,305.2142151333638
2023-12-07 14:44:58,332.43372121475306,1771.8258752057554,3976.910176139988
2023-12-07 14:45:03,643.6537019232366,806.1164611172748,4780.506476422163
2023-12-07 14:45:08,538.5731203075118,1804.0175436960053,3866.8862501480717
2023-12-07 14:45:13,468.93154493808635,978.016740342865,2620.037375523602
2023-12-07 14:45:18,261.11457876000816,866.235607155455,1434.0588061891588
2023-12-07 14:45:23,167.77894653259006,468.4500796771987,812.6011256562122
2023-12-07 14:45:28,86.88432143477159,603.6712085753951,130.0794571170475
2023-12-07 14:45:33,425.385939850489,1227.1392603472664,4173.467168190537
2023-12-07 14:45:38,268.8646033363283,885.7839887229077,1303.6013936887653
2023-12-07 14:45:43,180.38249757330698,555.4577231762839,382.8767810861001
2023-12-07 14:45:48,294.6887614228665,1042.811834618879,3190.2656368527005
2023-12-07 14:45:54,211.92361031337077,699.0664435858642,1519.2597928472371
2023-12-07 14:45:59,757.8101815792639,1732.565343178529,9834.411315488978
2023-12-07 14:46:04,515.9411957414143,1204.3625285625426,4450.747401571882
2023-12-07 14:46:09,526.6682528185869,1115.7903936932141,3667.823889287698
2023-12-07 14:46:14,89.33600136563753,1625.2803771246486,1063.7312232165293
2023-12-07 14:46:19,1049.2364814218377,6648.657114529669,5878.076270942288
2023-12-07 14:46:24,141.7633537273925,580.4605455696304,408.4333065414575
2023-12-07 14:46:29,200.47574812055277,912.0960744919226,325.36910874240436
2023-12-07 14:46:34,714.6980429309557,1599.8403398294213,3364.467122102894
2023-12-07 14:46:39,303.2142277548977,1858.1220524268508,842.8346795847586
2023-12-07 14:46:44,340.14920075746136,1245.1023981791382,507.43245737965543
2023-12-07 14:46:49,694.1529671360188,2193.259776521054,697.0714493053094
2023-12-07 14:46:54,340.1040300143431,1680.896218856873,2626.5435865508966
2023-12-07 14:46:59,815.9150666854382,2427.40896755731,6192.935658465909
2023-12-07 14:47:04,498.2459919372868,806.7120498200422,2763.250532949188
2023-12-07 14:47:09,312.52809075641284,920.66918784482,1734.3717315239205
2023-12-07 14:47:14,246.44486842695096,1046.0171126814973,1566.997265070022
2023-12-07 14:47:19,74.54840198743163,685.0698296933202,141.49786821595222
2023-12-07 14:47:24,67.06790413829125,584.2012793801921,135.88695583581634
